,index,CO_CATEGORIA_ADMINISTRATIVA,CO_ORGANIZACAO_ACADEMICA,CO_TURNO_ALUNO,CO_GRAU_ACADEMICO,CO_MODALIDADE_ENSINO,CO_COR_RACA_ALUNO,NU_ANO_ALUNO_NASC,NU_MES_ALUNO_NASC,NU_DIA_ALUNO_NASC,CO_UF_NASCIMENTO,DT_INGRESSO_CURSO,IN_FINANC_ESTUDANTIL,IN_ING_CONVENIO_PECG,IN_SEXO_ALUNO,IN_MOBILIDADE_ACADEMICA,NO_OCDE_AREA_GERAL
4975,80b0ee2ae1213d551d1b11103add61852991ebdb,5.0,1.0,3.0,3.0,1.0,0.0,1992,1,16,42.0,2014-01-01,1.0,0.0,0.0,0.0,Serviços
5116,bd76142fbdfab165a2ef14ec3fd110c76a3cb50f,5.0,2.0,1.0,3.0,1.0,1.0,1989,11,24,35.0,2016-01-07,0.0,0.0,1.0,0.0,Serviços
5126,3356b76ced527fadca6d22b62d70c649fd6ebf07,5.0,1.0,3.0,3.0,1.0,0.0,1990,11,15,42.0,2014-01-01,1.0,0.0,1.0,0.0,Serviços
5136,a39ec507f14529aa6f72fb4ca6ffbe1d4ce43a5f,5.0,1.0,3.0,3.0,1.0,0.0,1996,1,19,42.0,2014-01-01,0.0,0.0,0.0,0.0,Serviços
5605,4b6462e5a60605d5ed2f3395411cd62e1c2aeae5,1.0,4.0,1.0,3.0,1.0,1.0,1995,1,15,42.0,2013-01-01,,,1.0,0.0,Serviços
5703,21fe72eb8b3cfc91c290edbea373c2d07a707c02,5.0,1.0,1.0,3.0,1.0,3.0,1995,8,12,42.0,2016-01-01,0.0,0.0,1.0,0.0,Serviços
5879,195ceadf4783cdde915e7aadf94fa85b0ef3c54b,5.0,1.0,3.0,3.0,1.0,1.0,1997,11,19,42.0,2016-01-01,0.0,0.0,1.0,0.0,Serviços
5981,5cb86bb1da3fd0af4fa7668bd7ccf384eaf97e06,5.0,3.0,3.0,3.0,1.0,1.0,1990,4,27,,2011-01-01,0.0,,1.0,0.0,Serviços
6104,f7fc1efe0bf8487444b7b59177148ac611ef3c78,1.0,4.0,1.0,3.0,1.0,1.0,1981,5,16,43.0,2014-01-01,,,0.0,0.0,Serviços
6759,a9e5cbd08154c56c2570a159f7992c1b931c1f70,1.0,4.0,1.0,3.0,1.0,3.0,1984,1,26,29.0,2013-01-01,,,0.0,0.0,Serviços
6850,61b464260d4451aeba84a0b43d075b35eb7cce67,4.0,3.0,3.0,3.0,1.0,0.0,1989,10,1,,2008-01-07,0.0,0.0,1.0,0.0,Serviços
6928,6a623b2d90542ca1e1d4d123dc8f74667d16e5ff,1.0,4.0,1.0,3.0,1.0,1.0,1984,7,28,42.0,2016-01-01,,,0.0,0.0,Serviços
7182,fac40d1af93bc4486813423ace9fc0732fd9f1ef,5.0,1.0,1.0,3.0,1.0,1.0,1997,1,3,42.0,2015-01-01,1.0,0.0,1.0,0.0,Serviços
7245,2dfee5f8ad5ab4b79fcad228c1aeace17f3a596f,1.0,4.0,1.0,3.0,1.0,1.0,1981,9,17,31.0,2013-01-07,,,0.0,0.0,Serviços
7335,9e961078e1e81827eaf1d74bc1c339a31a7abcc8,5.0,1.0,1.0,3.0,1.0,1.0,1998,1,9,42.0,2016-01-01,1.0,0.0,0.0,0.0,Serviços
7558,12d3bb25da24393c57b809e117c3d48ed6d6ef57,1.0,4.0,1.0,3.0,1.0,3.0,1997,4,14,42.0,2016-01-01,,,0.0,0.0,Serviços
7758,811981498ee15a09cb3df7c02b61b35c7a8dc220,1.0,4.0,1.0,3.0,1.0,1.0,1998,7,6,33.0,2016-01-01,,,1.0,0.0,Serviços
7845,fb871790d53a476b8bdddfad0d5657e80717414a,1.0,4.0,1.0,3.0,1.0,1.0,1979,1,4,41.0,2016-01-01,,,0.0,0.0,Serviços
7887,86bb34dfc97ad0be4b14b7f65725b5cff517e104,5.0,1.0,3.0,3.0,1.0,1.0,1997,12,26,42.0,2016-01-01,0.0,0.0,1.0,0.0,Serviços
8035,516fbc42d69dd1914ec89778f8a0ed13a8fc734b,1.0,4.0,1.0,3.0,1.0,3.0,1993,4,13,43.0,2014-01-01,,,0.0,0.0,Serviços
8272,b4f735d399b1f498873fdd3290ccfe04f03589e7,5.0,1.0,1.0,3.0,1.0,0.0,1994,11,1,42.0,2015-01-01,0.0,0.0,1.0,0.0,Serviços
8802,9e31e2ac654249b631f30aa2297a158490b50354,1.0,4.0,1.0,3.0,1.0,1.0,1967,3,9,42.0,2016-01-07,,,1.0,0.0,Serviços
8845,a7acd68ff057af3c72c4e63f82f8bd612fa51cce,1.0,4.0,1.0,3.0,1.0,1.0,1991,8,22,42.0,2015-01-01,,,1.0,0.0,Serviços
8909,6007d70bbbd5b2dcd455dec28aba391b632dc8cf,1.0,4.0,1.0,3.0,1.0,1.0,1995,2,7,42.0,2013-01-01,,,1.0,0.0,Serviços
8953,75775e12624cfae5af7db7ca97d384e0e699488b,5.0,1.0,1.0,3.0,1.0,0.0,1991,2,15,42.0,2014-01-01,1.0,0.0,0.0,0.0,Serviços
8996,207ee8106b451727e6247b9b0e9f065da649a5b0,1.0,4.0,1.0,3.0,1.0,1.0,1997,9,21,35.0,2016-01-01,,,0.0,0.0,Serviços
9197,35808fb1a298286ed84d3b36708fe95b4f76f55d,5.0,1.0,1.0,3.0,1.0,1.0,1997,1,14,42.0,2016-01-01,0.0,0.0,1.0,0.0,Serviços
9218,ce4b4dde1b2b3c5f4e33d6bcebe23f5d6c190de5,4.0,3.0,3.0,3.0,1.0,2.0,1986,2,21,,2013-01-01,0.0,0.0,1.0,0.0,Serviços
9775,02fe48aade3109769b2bc1122c098a0fea46ed3e,1.0,4.0,1.0,3.0,1.0,1.0,1983,6,14,42.0,2015-01-01,,,1.0,0.0,Serviços
10726,480323c87c7130bb50c927cccef4ab8d10f4df27,5.0,3.0,3.0,3.0,1.0,1.0,1983,6,20,42.0,2011-01-01,0.0,,0.0,0.0,Serviços
11028,76d11ed4384aa6ecebe4438203a1025afbf6bc8a,1.0,4.0,1.0,3.0,1.0,1.0,1962,3,18,43.0,2013-01-01,,,1.0,0.0,Serviços
11628,13f512df2796492e242336401eb945cc6144cbb1,1.0,4.0,1.0,3.0,1.0,1.0,1995,6,13,35.0,2014-01-01,,,1.0,0.0,Serviços
11950,32d1cf0860943ca19db1cf94708a89f11727d0ae,4.0,3.0,3.0,3.0,1.0,0.0,1989,8,4,,2010-01-01,0.0,0.0,1.0,0.0,Serviços
12053,411a08129fda2784fd68a902f61758ec2cdbe5bf,5.0,1.0,1.0,3.0,1.0,1.0,1997,7,3,42.0,2016-01-01,0.0,0.0,0.0,0.0,Serviços
12430,beb5403f0475b2cca329ca9620afc725f23da748,1.0,4.0,1.0,3.0,1.0,1.0,1986,7,9,42.0,2015-01-01,,,0.0,0.0,Serviços
12651,fd8a16f511742cd2b156dcd8827d3396318774cd,5.0,1.0,3.0,3.0,1.0,0.0,1988,2,1,42.0,2015-01-01,0.0,0.0,0.0,0.0,Serviços
12771,c43ca9f7edc28293ae66f7a3e8dbd04a964e2a05,1.0,4.0,1.0,3.0,1.0,1.0,1995,11,26,42.0,2015-01-01,,,0.0,0.0,Serviços
12839,275d055ed3e15c82ad04bd820ba6e9e91f11ff8a,5.0,1.0,3.0,3.0,1.0,0.0,1996,5,15,42.0,2015-01-07,0.0,0.0,1.0,0.0,Serviços
12938,6ff615ead98057aae01a6c31a26cc394afed998a,1.0,4.0,1.0,3.0,1.0,1.0,1990,11,28,42.0,2013-01-01,,,0.0,0.0,Serviços
13232,2a2a88f369593a2ea4f217c15b0995d612d1bc84,5.0,1.0,3.0,3.0,1.0,1.0,1988,9,26,42.0,2014-01-01,1.0,0.0,0.0,0.0,Serviços
13637,11d5d63f4919a8af141d9fa457240e7dc8549595,1.0,4.0,1.0,3.0,1.0,2.0,1992,3,7,42.0,2016-01-01,,,0.0,0.0,Serviços
13678,c64b53664741fe4c9032cc33e00b7d5cbcb2fe5b,5.0,2.0,1.0,3.0,1.0,1.0,1978,8,2,42.0,2016-01-07,0.0,0.0,1.0,0.0,Serviços
13987,42498e9dd1f806567a2c55f345bb41a6d2ac4f54,1.0,4.0,1.0,3.0,1.0,1.0,1983,7,13,43.0,2014-01-01,,,0.0,0.0,Serviços
14318,c00573cea0bf95e58a430d16eb47c910ebb1f3ce,5.0,3.0,3.0,3.0,1.0,1.0,1973,4,2,35.0,2011-01-01,0.0,,0.0,0.0,Serviços
14509,ca11207f1ee342a5a3e0860d3a12801ea369450f,1.0,4.0,1.0,3.0,1.0,1.0,1996,6,19,,2015-01-01,,,0.0,0.0,Serviços
14994,c0bf16ec8a73b7c9a6c7249254def47b9161a348,5.0,3.0,3.0,3.0,1.0,1.0,1990,1,25,42.0,2010-01-01,0.0,,1.0,0.0,Serviços
15166,74828b8562b7fbf83b446cd2edf8916272cf208d,1.0,4.0,1.0,3.0,1.0,1.0,1979,9,16,43.0,2016-01-01,,,0.0,0.0,Serviços
15561,8326f6ba33cd28b762d42671ee58e32d9e76cb25,4.0,3.0,3.0,3.0,1.0,0.0,1991,7,6,,2012-01-01,1.0,0.0,1.0,0.0,Serviços
15879,cec6a18ba1e7d2c3774cc630498f856d3d5e3b4a,5.0,1.0,3.0,3.0,1.0,1.0,1997,4,1,42.0,2015-01-01,0.0,0.0,0.0,0.0,Serviços
15955,8727d7811171fd184cc476487061fcd535becb67,1.0,4.0,1.0,3.0,1.0,1.0,1996,11,22,35.0,2016-01-01,,,0.0,0.0,Serviços
16006,a8c67d213936de8aa1343e6482bb7ec504413936,5.0,1.0,3.0,3.0,1.0,0.0,1980,1,11,42.0,2016-01-01,0.0,0.0,1.0,0.0,Serviços
16013,11256b57656241cc2d6bfd63776b0f995ad253ca,5.0,1.0,3.0,3.0,1.0,0.0,1991,8,13,42.0,2014-01-01,0.0,0.0,0.0,0.0,Serviços
16318,9574c594e65570c940546a53b231a0eec39a3655,1.0,4.0,1.0,3.0,1.0,1.0,1995,2,19,42.0,2016-01-01,,,1.0,0.0,Serviços
