,index,CO_CATEGORIA_ADMINISTRATIVA,CO_ORGANIZACAO_ACADEMICA,CO_TURNO_ALUNO,CO_GRAU_ACADEMICO,CO_MODALIDADE_ENSINO,CO_COR_RACA_ALUNO,NU_ANO_ALUNO_NASC,NU_MES_ALUNO_NASC,NU_DIA_ALUNO_NASC,CO_UF_NASCIMENTO,DT_INGRESSO_CURSO,IN_FINANC_ESTUDANTIL,IN_ING_CONVENIO_PECG,IN_SEXO_ALUNO,IN_MOBILIDADE_ACADEMICA
24,7566ac174c6d0ca4453defc7b7c36ee0dfbd505f,1.0,1.0,4.0,1.0,1.0,1.0,1996,1,25,42.0,2013-01-07,,0.0,1.0,
96,552c1e3fdb5bb157a45edca926c314d696f430df,2.0,1.0,4.0,1.0,1.0,1.0,1995,2,9,42.0,2013-01-01,,0.0,0.0,0.0
110,811ebe05cc261db1181a21b5b0469712a36f652d,1.0,1.0,4.0,1.0,1.0,1.0,1998,3,9,42.0,2016-01-01,,0.0,0.0,0.0
139,4bb1922c80006f3006641d0dc916d64b4dd46380,1.0,1.0,4.0,1.0,1.0,1.0,1998,5,26,42.0,2016-01-01,,0.0,1.0,0.0
155,a4551d03747a40e37d98ee58e49bc089f094a040,1.0,1.0,4.0,1.0,1.0,1.0,1988,6,3,41.0,2013-01-01,,0.0,0.0,0.0
199,a3fd6348ff91c8044c8c5d27724103c3e5e9f439,2.0,1.0,4.0,1.0,1.0,1.0,1995,2,6,42.0,2014-01-01,,0.0,1.0,0.0
248,dea78250da6f6928376846348666dbdc635b7283,1.0,1.0,4.0,1.0,1.0,1.0,1986,1,8,42.0,2011-01-07,,0.0,0.0,
265,68d13fa312e8a5b627f6bbeaaf7ecb8850ddf952,1.0,1.0,4.0,1.0,1.0,1.0,1997,11,5,42.0,2015-01-07,,0.0,1.0,0.0
270,fdfde9be23dbad90c8d6af218be9321677a79d15,2.0,1.0,4.0,1.0,1.0,0.0,1994,9,1,42.0,2012-01-01,,0.0,1.0,0.0
274,f53c5653be4549e061f5b93db68cd979721d443b,1.0,1.0,4.0,1.0,1.0,1.0,1986,12,15,43.0,2015-01-07,,0.0,0.0,0.0
282,1a35827ae1f0ee0c0ca418abbf26408e5a95ede8,2.0,1.0,4.0,1.0,1.0,0.0,1997,10,22,42.0,2016-01-01,,0.0,1.0,0.0
283,0173bc58ff25a79057384ad52734529566ac428c,2.0,1.0,4.0,1.0,1.0,1.0,1997,11,6,42.0,2015-01-01,,0.0,0.0,0.0
286,f2aedabe3bff34e77735cb25f8216a5d9ddbd8c2,1.0,1.0,4.0,1.0,1.0,1.0,1995,7,10,42.0,2013-01-07,,0.0,1.0,
289,591154fdd823389d44028aa9aa5678327bf4eaf0,1.0,1.0,4.0,1.0,1.0,1.0,1962,2,13,42.0,2016-01-07,,0.0,0.0,0.0
293,bda5f74b4ab71ddd8bb423fd2f80b1b387a2ab49,1.0,1.0,4.0,1.0,1.0,1.0,1992,7,26,41.0,2016-01-01,,0.0,1.0,0.0
299,97d3db747530e6985e8307819e6d5f5b60378ede,1.0,1.0,4.0,1.0,1.0,1.0,1996,8,14,41.0,2014-01-07,,0.0,1.0,0.0
1618,d276330c6d8e9e05fbd186eda25b527224a91c51,5.0,3.0,3.0,3.0,1.0,1.0,1968,10,12,42.0,2010-01-01,0.0,,0.0,0.0
1800,e454a1a89d954f08632be4c2af40db100a89b829,1.0,4.0,1.0,3.0,1.0,3.0,1995,2,27,42.0,2016-01-07,,,1.0,0.0
